time,open,high,low,close,volume
2024-01-25,32.0,32.1,31.6,32.05,5171934
2024-01-26,32.1,32.25,31.95,32.1,3686228
2024-01-29,32.1,32.75,32.0,32.3,5889586
2024-01-30,32.35,32.45,32.05,32.2,3748970
2024-01-31,32.45,32.5,31.3,31.6,11932232
2024-02-01,31.45,32.1,31.45,32.05,5133916
2024-02-02,32.0,32.15,31.55,31.7,4540449
2024-02-05,31.75,33.9,31.75,33.9,21722026
2024-02-06,34.0,34.45,33.85,34.4,8657918
2024-02-07,34.4,36.3,34.4,35.5,13578449
2024-02-15,35.6,35.8,35.0,35.0,8862589
2024-02-16,35.3,35.3,34.65,35.25,7518770
2024-02-19,35.1,35.5,34.5,35.4,10690911
2024-02-20,35.3,35.6,34.7,35.2,6844456
2024-02-21,35.25,36.2,35.05,35.55,10408441
2024-02-22,35.7,35.75,35.25,35.7,7064441
2024-02-23,35.8,37.15,35.0,35.2,25789026
2024-02-26,35.2,35.85,35.1,35.65,6399684
2024-02-27,35.7,36.3,35.45,36.15,9073903
2024-02-28,36.4,36.45,35.65,35.95,9819770
2024-02-29,36.2,36.3,35.2,35.55,12805479
2024-03-01,35.7,35.7,35.0,35.6,9186740
2024-03-04,35.6,36.9,35.15,36.0,17584719
2024-03-05,36.0,36.45,35.75,36.45,7386434
2024-03-06,36.4,36.95,35.65,36.1,11122170
2024-03-07,36.0,36.05,35.45,35.8,8888544
2024-03-08,35.8,35.85,34.5,34.5,20836794
2024-03-11,34.5,34.75,33.9,34.15,7848930
2024-03-12,34.0,34.6,33.95,34.5,6764826
2024-03-13,34.6,35.15,34.2,35.15,6146474
2024-03-14,35.2,35.2,34.2,34.45,7015247
2024-03-15,34.4,35.4,33.95,34.75,9590069
2024-03-18,34.75,35.0,32.35,33.3,11393812
2024-03-19,33.4,33.8,32.95,33.3,7154001
2024-03-20,33.2,34.5,33.0,34.35,9490071
2024-03-21,34.6,34.9,34.05,34.9,9091163
2024-03-22,35.1,36.4,35.0,35.7,15970111
2024-03-25,35.5,35.7,34.5,34.7,9583651
2024-03-26,34.75,35.4,34.65,35.2,3805589
2024-03-27,35.0,35.5,34.8,35.5,5071326
2024-03-28,35.9,35.9,35.3,35.75,7037993
2024-03-29,35.75,35.75,35.15,35.55,4494235
2024-04-01,35.4,35.4,34.75,35.0,7923029
2024-04-02,34.5,35.2,34.1,35.0,6983869
2024-04-03,34.9,35.0,33.9,34.05,9114136
2024-04-04,34.2,34.3,33.5,33.55,7109402
2024-04-05,33.2,33.6,33.1,33.2,9837489
2024-04-08,33.3,34.25,32.95,33.5,12011667
2024-04-09,33.9,34.25,33.55,34.25,5242173
2024-04-10,34.35,34.35,33.65,33.65,4304063
2024-04-11,33.3,33.7,33.25,33.7,4181821
2024-04-12,33.8,36.05,33.65,35.9,23787608
2024-04-15,35.8,36.3,33.4,33.45,29303204
2024-04-16,33.9,34.05,32.8,34.05,15421515
2024-04-17,34.25,34.25,32.65,32.7,19099905
2024-04-19,32.1,32.75,31.25,31.6,13046019
2024-04-22,32.05,32.4,31.7,32.3,7771685
2024-04-23,32.25,32.5,31.15,31.5,10693470
2024-04-24,32.0,32.95,31.7,32.95,9015234
2024-04-25,32.85,33.0,32.25,33.0,4865881
2024-04-26,32.55,33.15,32.15,32.8,8975056
2024-05-02,32.8,32.8,32.0,32.35,6363200
2024-05-03,32.45,32.85,32.15,32.4,6162933
2024-05-06,32.6,33.25,32.35,33.2,7631391
2024-05-07,33.2,33.25,32.8,32.8,4944154
2024-05-08,32.65,33.0,32.35,32.6,8400427
2024-05-09,32.8,33.4,32.45,32.9,7201030
2024-05-10,33.15,33.15,32.55,32.85,4659795
2024-05-13,32.85,32.85,32.25,32.3,7006487
2024-05-14,32.4,32.7,32.25,32.3,5646320
2024-05-15,32.45,33.0,32.25,32.35,7931222
2024-05-16,32.8,33.7,32.55,33.2,14198690
2024-05-17,33.35,33.4,32.9,33.1,5952383
2024-05-20,33.3,33.9,33.05,33.35,12153697
2024-05-21,33.45,34.1,33.35,33.65,6082959
2024-05-22,33.85,33.9,32.7,33.0,11645905
2024-05-23,32.95,33.25,32.6,33.25,5576562
2024-05-24,33.1,33.9,32.3,32.5,13925619
2024-05-27,32.7,32.7,32.1,32.4,8221234
2024-05-28,32.45,32.5,31.7,32.2,24692517
2024-05-29,32.2,32.2,31.65,31.65,15637199
2024-05-30,31.35,32.1,31.35,31.8,9621606
2024-05-31,31.8,32.2,31.8,31.9,6192508
2024-06-03,32.25,32.8,32.05,32.6,9931998
2024-06-04,32.7,32.95,32.45,32.8,8847100
2024-06-05,32.9,32.95,32.4,32.4,8386715
2024-06-06,32.5,32.7,32.35,32.6,7439660
2024-06-07,32.8,32.9,32.65,32.8,4309934
2024-06-10,32.95,33.95,32.9,33.5,13322411
2024-06-11,33.95,33.95,33.15,33.2,10719054
2024-06-12,33.25,33.65,32.85,33.5,7594905
2024-06-13,34.0,34.15,33.5,33.9,14014007
2024-06-14,33.9,33.95,32.8,32.8,10433839
2024-06-17,32.8,32.95,32.3,32.75,8420700
2024-06-18,32.75,32.85,32.35,32.35,7749511
2024-06-19,32.4,32.55,31.95,32.5,6707065
2024-06-20,32.3,32.55,32.0,32.2,7046138
2024-06-21,32.4,32.45,32.15,32.2,4905568
2024-06-24,32.2,32.35,31.55,31.65,8441901
2024-06-25,31.9,31.9,31.45,31.6,5415929
2024-06-26,31.6,31.65,31.05,31.3,6559416
2024-06-27,31.3,31.4,31.15,31.3,4085634
2024-06-28,31.3,31.45,31.0,31.0,4523875
2024-07-01,30.85,32.0,30.85,32.0,3926501
2024-07-02,32.0,32.35,31.9,32.3,5125630
2024-07-03,32.35,32.5,32.05,32.35,3318740
2024-07-04,32.4,32.5,32.05,32.3,2528523
2024-07-05,32.35,32.85,32.1,32.7,5592654
2024-07-08,32.75,32.75,32.3,32.6,3855058
2024-07-09,32.6,32.8,32.4,32.7,4735023
2024-07-10,32.7,32.85,32.4,32.4,5207417
2024-07-11,32.5,32.6,32.2,32.2,3869535
2024-07-12,32.2,32.3,31.9,32.0,3875711
2024-07-15,32.05,32.2,32.0,32.1,2452363
2024-07-16,32.15,32.85,32.1,32.5,6591821
2024-07-17,32.7,33.8,32.55,33.0,22607811
2024-07-18,33.3,33.45,32.75,33.45,8114071
2024-07-19,33.25,33.8,32.75,33.4,10151078
2024-07-22,33.2,34.1,33.15,33.65,15874055
2024-07-23,33.7,33.7,32.05,32.4,9828994
2024-07-24,32.35,32.5,31.7,32.2,10319378
2024-07-25,32.0,32.0,31.4,31.55,6107949
2024-07-26,31.55,32.15,31.55,32.05,3282710
2024-07-29,32.15,32.35,32.1,32.1,3121775
2024-07-30,32.0,32.1,31.8,32.0,4285869
2024-07-31,32.0,32.3,31.8,32.0,6544615
2024-08-01,32.0,32.45,31.3,31.45,8814606
2024-08-02,31.05,31.55,30.25,31.55,10413159
2024-08-05,30.9,30.95,30.0,30.15,10634485
2024-08-06,30.5,30.6,29.95,30.55,4873125
2024-08-07,30.65,30.65,30.05,30.2,3894499
2024-08-08,30.2,30.45,30.05,30.2,5156057
2024-08-09,30.35,31.5,30.35,31.5,7181872
2024-08-12,31.55,31.75,31.2,31.7,3054328
2024-08-13,31.85,31.85,31.35,31.85,3765728
2024-08-14,31.85,32.0,31.6,31.8,4669884
2024-08-15,31.8,31.95,31.45,31.85,4423049
2024-08-16,31.85,32.5,31.8,32.5,7860794
2024-08-19,32.5,32.7,32.35,32.65,5866428
2024-08-20,32.65,33.35,32.6,33.2,10771948
2024-08-21,33.25,34.2,33.0,34.2,27489661
2024-08-22,34.35,35.0,34.3,34.6,11493304
2024-08-23,34.4,34.95,34.15,34.95,9868643
2024-08-26,35.0,35.0,34.4,34.6,9590123
2024-08-27,34.6,35.0,34.25,34.85,11703564
2024-08-28,34.9,34.95,34.5,34.9,5942045
2024-08-29,34.95,35.35,34.5,35.0,12535801
2024-08-30,35.0,35.1,34.65,35.05,8127134
2024-09-04,34.6,35.3,34.45,35.3,10451534
2024-09-05,35.2,35.5,34.6,35.0,8508656
2024-09-06,34.8,35.5,34.6,35.5,9161337
